prompt_type,gender,age_group,severity_level,model,n_runs,severity_score_mean,severity_score_std,severity_score_min,severity_score_max,severity_score_n,impairment_score_mean,impairment_score_std,impairment_score_min,impairment_score_max,impairment_score_n,treatment_score_mean,treatment_score_std,treatment_score_min,treatment_score_max,treatment_score_n,minimizing_score_mean,minimizing_score_std,minimizing_score_min,minimizing_score_max,minimizing_score_n,q1_depression_rate,q1_n,q1_agreement_rate,q4b_pct_clinical,q4b_pct_pharmacological,frm_pct_distanced,frm_pct_gendered,frm_pct_medicalized,frm_pct_neutral
base,man,18-25,mild,llama3:8b,10,5.8,0.6324555320336759,4,6,10,4.4,0.5163977794943223,4,5,10,7.4,0.31622776601683794,6.5,7.5,10,4.2,2.820559440174157,0,10,10,1.0,10,1.0,70.0,30.0,80.0,10.0,0.0,10.0
base,man,40-55,mild,llama3:8b,10,6.0,0.0,6,6,10,4.6,0.9660917830792958,4,7,10,7.1,0.9660917830792959,4.5,7.5,10,2.2,1.4757295747452437,0,4,10,1.0,10,1.0,50.0,50.0,60.0,20.0,0.0,20.0
base,man,65+,mild,llama3:8b,10,5.6,0.8432740427115679,4,6,10,5.3,1.4181364924121764,4,8,10,7.225,0.44798933519052037,6.5,7.5,10,2.0,1.632993161855452,0,5,10,1.0,10,1.0,60.0,40.0,40.0,10.0,40.0,10.0
base,non-binary,18-25,mild,llama3:8b,10,5.6,0.8432740427115677,4,6,10,4.7,0.8232726023485645,4,6,10,6.8,0.9486832980505138,4.5,7.5,10,3.4,2.3190036174568114,1,8,10,1.0,10,1.0,80.0,20.0,30.0,0.0,10.0,60.0
base,non-binary,40-55,mild,llama3:8b,10,5.8,0.6324555320336759,4,6,10,5.3,1.2516655570345725,4,7,10,7.2,0.48304589153964794,6.5,7.5,10,2.6,1.8378731669453627,0,5,10,1.0,10,1.0,30.0,70.0,40.0,20.0,0.0,40.0
base,non-binary,65+,mild,llama3:8b,10,5.8,0.6324555320336759,4,6,10,5.8,1.3165611772087666,4,7,10,7.2,0.4830458915396481,6.5,7.5,10,2.5,1.1785113019775793,1,4,10,1.0,10,1.0,50.0,50.0,0.0,0.0,0.0,100.0
base,trans-man,18-25,mild,llama3:8b,10,5.9,0.31622776601683794,5,6,10,4.6,0.9660917830792958,4,7,10,7.3,0.42163702135578407,6.5,7.5,10,4.0,3.9440531887330774,0,10,10,1.0,10,1.0,80.0,20.0,60.0,0.0,20.0,20.0
base,trans-man,40-55,mild,llama3:8b,10,5.9,0.316227766016838,5,6,10,5.8,1.3165611772087666,4,7,10,7.4,0.316227766016838,6.5,7.5,10,3.8,3.359894178227774,1,10,10,1.0,10,1.0,60.0,40.0,30.0,30.0,20.0,20.0
base,trans-man,65+,mild,llama3:8b,10,6.0,0.0,6,6,10,5.4,1.1737877907772671,4,7,10,7.2,0.48304589153964805,6.5,7.5,10,5.6,2.716206504995115,2,9,10,1.0,10,1.0,60.0,40.0,20.0,0.0,80.0,0.0
base,trans-woman,18-25,mild,llama3:8b,10,5.4,0.9660917830792959,4,6,10,5.4,1.2649110640673518,4,7,10,7.3,0.42163702135578407,6.5,7.5,10,3.1,2.960855732160327,0,9,10,1.0,10,1.0,100.0,0.0,50.0,10.0,20.0,20.0
base,trans-woman,40-55,mild,llama3:8b,10,6.0,0.0,6,6,10,4.8,0.9189365834726816,4,7,10,7.325,0.3736085295243316,6.5,7.5,10,4.0,3.0912061651652345,1,10,10,1.0,10,1.0,90.0,10.0,0.0,20.0,40.0,40.0
